Restaurant Name,City,Address,Locality,Locality Verbose,Cuisines,Average Cost for two,Price range,Aggregate rating,Rating text,cost type
Giani,Gurgaon,"A-130, Supermart 1, DLF Phase 4, Gurgaon","Supermart 1, DLF Phase 4","Supermart 1, DLF Phase 4, Gurgaon","Ice Cream, Desserts",400,1,3.6,Good,average
Juste Miam,Gurgaon,"A-137, Lower Ground Floor, Supermart 1, DLF Phase 4, Gurgaon","Supermart 1, DLF Phase 4","Supermart 1, DLF Phase 4, Gurgaon","Bakery, Desserts, Fast Food",300,1,3.9,Good,average
Patiala Shahi,Gurgaon,"A 134 135, Supermart 1, DLF Phase 4, Gurgaon","Supermart 1, DLF Phase 4","Supermart 1, DLF Phase 4, Gurgaon","North Indian, Mughlai",800,2,3.5,Good,expensive
The Kathis,Gurgaon,"B-215, Supermart 1, DLF Phase 4, Gurgaon","Supermart 1, DLF Phase 4","Supermart 1, DLF Phase 4, Gurgaon","North Indian, Street Food",300,1,3.8,Good,average
Wai Yu Mun Ching,Gurgaon,"A-215 & 216, Supermart 1, DLF Phase 4, Gurgaon","Supermart 1, DLF Phase 4","Supermart 1, DLF Phase 4, Gurgaon","Chinese, Thai",800,2,3.6,Good,expensive
Bernardo's,Gurgaon,"A-237, Supermart 1, DLF Phase 4, Gurgaon","Supermart 1, DLF Phase 4","Supermart 1, DLF Phase 4, Gurgaon",Goan,2000,4,4,Very Good,expensive
Biryani Art,Gurgaon,"A-202 & 203, Supermart 1, DLF Phase 4, Gurgaon","Supermart 1, DLF Phase 4","Supermart 1, DLF Phase 4, Gurgaon","Hyderabadi, North Indian, Biryani",1100,3,4.1,Very Good,expensive
Nosh,Gurgaon,"A 222, Supermart 1, DLF Phase 4, Gurgaon","Supermart 1, DLF Phase 4","Supermart 1, DLF Phase 4, Gurgaon","North Indian, Mughlai",700,2,4.1,Very Good,expensive
Tandoor Express,Gurgaon,"B-215, Supermart 1, DLF Phase 4, Gurgaon","Supermart 1, DLF Phase 4","Supermart 1, DLF Phase 4, Gurgaon",North Indian,500,2,4.2,Very Good,average
Tandoori KnockOuts,Gurgaon,"A 224, Supermart 1, DLF Phase 4, Gurgaon","Supermart 1, DLF Phase 4","Supermart 1, DLF Phase 4, Gurgaon","Fast Food, North Indian",500,2,4.2,Very Good,average
Udaipuri,Gurgaon,"A-204, A-205, Supermart 1, DLF Phase 4, Gurgaon","Supermart 1, DLF Phase 4","Supermart 1, DLF Phase 4, Gurgaon","North Indian, Rajasthani, Asian",700,2,4,Very Good,expensive
Begonia,Gurgaon,"C Block, Phase 1, Sushant Lok, Gurgaon",Sushant Lok,"Sushant Lok, Gurgaon",Bakery,500,2,3,Average,average
Cakes & Muffins,Gurgaon,"B-1/75, 1st Floor, Phase 3, Sushant Lok, Gurgaon",Sushant Lok,"Sushant Lok, Gurgaon",Bakery,400,1,3.3,Average,average
Halki Aanch,Gurgaon,"The Laburnum, Phase 1, Sushant Lok, Gurgaon",Sushant Lok,"Sushant Lok, Gurgaon","North Indian, Chinese",700,2,2.7,Average,expensive
Hungry Gopal,Gurgaon,"C-463 A, Basement, Near Gold Souk Mall, Phase 1, Sushant Lok, Gurgaon",Sushant Lok,"Sushant Lok, Gurgaon","Bengali, Fast Food",450,1,3.2,Average,average
Kuzo,Gurgaon,"Gold Souk Mall, Phase 1, Sushant Lok, Gurgaon",Sushant Lok,"Sushant Lok, Gurgaon","North Indian, Fast Food",300,1,3.2,Average,average
Lovecrumbs Bakery,Gurgaon,"B 286, Phase-1, Sushant Lok, Gurgaon",Sushant Lok,"Sushant Lok, Gurgaon",Bakery,1000,3,3.4,Average,expensive
Organic Express,Gurgaon,"Gurgaon Organic Farmers Market, C Block, Community Centre, Sushant Lok, Gurgaon",Sushant Lok,"Sushant Lok, Gurgaon","Healthy Food, North Indian, Italian, Salad",700,2,3.4,Average,expensive
Pizza Hut,Gurgaon,"Centerpoint, A Block, Phase 1, Sushant Lok, Gurgaon",Sushant Lok,"Sushant Lok, Gurgaon","Italian, Pizza, Fast Food",1000,3,2.8,Average,expensive
Roti Te Boti,Gurgaon,"135, Ground Floor, Vyapar Kendra, Phase 1, Sushant Lok, Gurgaon",Sushant Lok,"Sushant Lok, Gurgaon",North Indian,600,2,2.8,Average,average
Behrouz Biryani,Gurgaon,"Sushant Lok, Gurgaon",Sushant Lok,"Sushant Lok, Gurgaon",Biryani,600,2,3.7,Good,average
Cafí© Burger BC,Gurgaon,"2513, Near Gold Souk Mall, C Block,  Sushant Lok, Gurgaon",Sushant Lok,"Sushant Lok, Gurgaon",Fast Food,300,1,3.7,Good,average
Dilli Darbar,Gurgaon,"UGF 138, Vypaar Kendra Market, Sushant Lok, Gurgaon",Sushant Lok,"Sushant Lok, Gurgaon","North Indian, Mughlai, Chinese",550,2,3.7,Good,average
Fu.D,Gurgaon,"9-C, Ground Floor, Vipul Square, Phase 1, Sushant Lok, Gurgaon",Sushant Lok,"Sushant Lok, Gurgaon","Cafe, Fast Food",250,1,3.7,Good,cheap
Jarfull,Gurgaon,"G35, Sushant Shopping arcade, Sushant Lok 1, Gurgaon, Delhi NCR, Sushant Lok, Gurgaon",Sushant Lok,"Sushant Lok, Gurgaon","South Indian, Desserts, Beverages",200,1,3.7,Good,cheap
Mochamania,Gurgaon,"106, The Laburnum Villa, Sushant Lok, Gurgaon",Sushant Lok,"Sushant Lok, Gurgaon",Bakery,300,1,3.7,Good,average
Mukhtalif Biryanis,Gurgaon,"Sushant Lok, Gurgaon",Sushant Lok,"Sushant Lok, Gurgaon","Mughlai, Biryani",600,2,3.7,Good,average
Mummy's Kitchen,Gurgaon,"Shop 114, Queens Plaza, C Block, Sushant Lok, Gurgaon",Sushant Lok,"Sushant Lok, Gurgaon",North Indian,150,1,3.5,Good,cheap
Ovenstory Pizza,Gurgaon,"Sushant Lok, Gurgaon",Sushant Lok,"Sushant Lok, Gurgaon","Pizza, Fast Food",500,2,3.7,Good,average
The Godinho's,Gurgaon,"Sushant Lok, Gurgaon",Sushant Lok,"Sushant Lok, Gurgaon","Goan, American, Portuguese",600,2,3.8,Good,average
Kujay's Spoon,Gurgaon,"C-2462, Phase 1, Sushant Lok, Gurgaon",Sushant Lok,"Sushant Lok, Gurgaon","North Indian, Mughlai, Chinese",500,2,0,Not rated,average
Lily Food's,Gurgaon,"Ground Floor, Gold Souk Mall, Sushant Lok, Gurgaon",Sushant Lok,"Sushant Lok, Gurgaon","North Indian, Chinese",600,2,0,Not rated,average
Mutton Mewar,Gurgaon,"Phase 1, Sushant Lok, Gurgaon",Sushant Lok,"Sushant Lok, Gurgaon",Rajasthani,800,2,0,Not rated,expensive
Tasty But Healthy,Gurgaon,"C-2356, Phase 1, Sushant Lok, Gurgaon",Sushant Lok,"Sushant Lok, Gurgaon","Fast Food, North Indian",250,1,0,Not rated,cheap
Teddy Choco Studio,Gurgaon,"C-479, Phase 1, Sushant Lok, Gurgaon",Sushant Lok,"Sushant Lok, Gurgaon",Desserts,250,1,0,Not rated,cheap
Chin Chow,Gurgaon,"UGH-180, 1st Floor, Vyapar Kendra, Sushant Lok, Gurgaon",Sushant Lok,"Sushant Lok, Gurgaon",Chinese,550,2,2.4,Poor,average
Cafe Sante,Gurgaon,"Peach Tree Complex, Block C, Phase 1, Sushant Lok, Gurgaon",Sushant Lok,"Sushant Lok, Gurgaon",Cafe,1100,3,4.3,Very Good,expensive
Mughal Dine-Esty,Gurgaon,"Time Square Building, B Block, Phase 1, Sushant Lok, Gurgaon",Sushant Lok,"Sushant Lok, Gurgaon","North Indian, Mughlai",1500,3,4,Very Good,expensive
Nuterro,Gurgaon,"Sector 28, Sushant Lok Phase I, Sushant Lok, Gurgaon",Sushant Lok,"Sushant Lok, Gurgaon","Healthy Food, Continental, Juices, Beverages, Italian, Salad, Lebanese",600,2,4,Very Good,average
Sandburg Shakes,Gurgaon,"Sushant Lok, Gurgaon",Sushant Lok,"Sushant Lok, Gurgaon","Cafe, Pizza, Burger",750,2,4,Very Good,expensive
The Millionaire Express,Gurgaon,"Sushant Shopping Arcade, Sushant Lok, Gurgaon",Sushant Lok,"Sushant Lok, Gurgaon",Continental,400,1,4,Very Good,average
Ammu's South Indian Restaurant,Gurgaon,"G-43, Ground Floor, Sushant Shopping Arcade, Sushant Lok, Gurgaon","Sushant Shopping Arcade, Sushant Lok, Gurgaon","Sushant Shopping Arcade, Sushant Lok, Gurgaon, Gurgaon",South Indian,250,1,3.1,Average,cheap
Elma's Delivers,Gurgaon,"Sushant Shopping Arcade, Sushant Lok, Gurgaon","Sushant Shopping Arcade, Sushant Lok, Gurgaon","Sushant Shopping Arcade, Sushant Lok, Gurgaon, Gurgaon",Bakery,500,2,3.1,Average,average
Faasos,Gurgaon,"Shop E-220, Shushant Shopping Arcade, Sushant Lok, Gurgaon","Sushant Shopping Arcade, Sushant Lok, Gurgaon","Sushant Shopping Arcade, Sushant Lok, Gurgaon, Gurgaon","North Indian, Fast Food",600,2,3.2,Average,average
Foodrath,Gurgaon,"Shop GF, 105-H, Sushant Shopping Arcade, Sushant Lok, Gurgaon","Sushant Shopping Arcade, Sushant Lok, Gurgaon","Sushant Shopping Arcade, Sushant Lok, Gurgaon, Gurgaon","North Indian, Chinese",400,1,3,Average,average
Hyderabad House,Gurgaon,"H-154, Sushant Shopping Arcade, Sushant Lok, Gurgaon","Sushant Shopping Arcade, Sushant Lok, Gurgaon","Sushant Shopping Arcade, Sushant Lok, Gurgaon, Gurgaon",Biryani,500,2,2.7,Average,average
Kake Da Hotel,Gurgaon,"G-114, Sushant Shopping Arcade, Phase 1, Sushant Lok, Gurgaon","Sushant Shopping Arcade, Sushant Lok, Gurgaon","Sushant Shopping Arcade, Sushant Lok, Gurgaon, Gurgaon",North Indian,700,2,3.1,Average,expensive
Mitraao,Gurgaon,"Shop H-8, Sushant Shopping Arcade, Sushant Lok, Gurgaon","Sushant Shopping Arcade, Sushant Lok, Gurgaon","Sushant Shopping Arcade, Sushant Lok, Gurgaon, Gurgaon",North Indian,650,2,3.4,Average,average
PomoDoro Bistro,Gurgaon,"UGF, H-222, Sushant Shopping Arcade, Phase 1, Sushant Lok, Gurgaon","Sushant Shopping Arcade, Sushant Lok, Gurgaon","Sushant Shopping Arcade, Sushant Lok, Gurgaon, Gurgaon","Italian, Fast Food",700,2,3.4,Average,expensive
Shri Shyam Ji Ke Mashhoor Chhole Bhature,Gurgaon,"C Block, Near Fauji Market, Sushant Lok, Gurgaon","Sushant Shopping Arcade, Sushant Lok, Gurgaon","Sushant Shopping Arcade, Sushant Lok, Gurgaon, Gurgaon",Street Food,200,1,3.3,Average,cheap
Spice Aangan Express,Gurgaon,"H-154, Sushant Shopping Arcade, Sushant Lok, Gurgaon","Sushant Shopping Arcade, Sushant Lok, Gurgaon","Sushant Shopping Arcade, Sushant Lok, Gurgaon, Gurgaon",Fast Food,400,1,3,Average,average
Subway,Gurgaon,"D-104, Sushant Shopping Arcade, Phase 1, Sushant Lok, Gurgaon","Sushant Shopping Arcade, Sushant Lok, Gurgaon","Sushant Shopping Arcade, Sushant Lok, Gurgaon, Gurgaon","American, Fast Food, Salad, Healthy Food",500,2,3.3,Average,average
Swaad Ka Khazana,Gurgaon,"F-11, Sushant Shopping Arcade, Phase 1, Sushant Lok, Gurgaon","Sushant Shopping Arcade, Sushant Lok, Gurgaon","Sushant Shopping Arcade, Sushant Lok, Gurgaon, Gurgaon","North Indian, Mughlai, Chinese",600,2,2.6,Average,average
The Toddy Shop,Gurgaon,"C-128, B Block, Sushant Shopping Arcade, Sushant Lok, Gurgaon","Sushant Shopping Arcade, Sushant Lok, Gurgaon","Sushant Shopping Arcade, Sushant Lok, Gurgaon, Gurgaon","South Indian, Kerala",1200,3,3.4,Average,expensive
Truffles,Gurgaon,"G-28, Sushant Shopping Arcade, Phase 1, Sushant Lok, Gurgaon","Sushant Shopping Arcade, Sushant Lok, Gurgaon","Sushant Shopping Arcade, Sushant Lok, Gurgaon, Gurgaon",Bakery,300,1,3.2,Average,average
Cafe Bonkerz,Gurgaon,"Shop D-3, LGF, Sushant Shopping Arcade, Phase 1, Sushant Lok, Gurgaon","Sushant Shopping Arcade, Sushant Lok, Gurgaon","Sushant Shopping Arcade, Sushant Lok, Gurgaon, Gurgaon","American, Fast Food",850,2,3.6,Good,expensive
Wrapchick,Gurgaon,"F-10, Sushant Arcade, Sushant Lok, Gurgaon","Sushant Shopping Arcade, Sushant Lok, Gurgaon","Sushant Shopping Arcade, Sushant Lok, Gurgaon, Gurgaon","North Indian, Mughlai",650,2,3.9,Good,average
WoW - Vada Pav & More,Gurgaon,"Shop 137-D, Ground Floor, Sushant Shopping Arcade, Sushant Lok, Gurgaon","Sushant Shopping Arcade, Sushant Lok, Gurgaon","Sushant Shopping Arcade, Sushant Lok, Gurgaon, Gurgaon","Street Food, Fast Food",300,1,2.2,Poor,average
Me Kong Bowl,Gurgaon,"G229, Sushant Shopping Arcade, Sushant Lok, Gurgaon","Sushant Shopping Arcade, Sushant Lok, Gurgaon","Sushant Shopping Arcade, Sushant Lok, Gurgaon, Gurgaon",Asian,700,2,4,Very Good,expensive
Palmyra - The Bristol Hotel,Gurgaon,"The Bristol Hotel, 108-110, DLF Phase 1, Gurgaon","The Bristol Hotel, DLF Phase 1","The Bristol Hotel, DLF Phase 1, Gurgaon","Continental, North Indian",2500,4,3.3,Average,expensive
Shanghai Bar & Lounge - The Bristol Hotel,Gurgaon,"The Bristol Hotel, 108-110, DLF Phase 1, Gurgaon","The Bristol Hotel, DLF Phase 1","The Bristol Hotel, DLF Phase 1, Gurgaon",Finger Food,2400,4,3,Average,expensive
Zaffran - The Bristol Hotel,Gurgaon,"The Bristol Hotel, 108-110, DLF Phase 1, Gurgaon","The Bristol Hotel, DLF Phase 1","The Bristol Hotel, DLF Phase 1, Gurgaon","Mughlai, Lucknowi, Awadhi",2000,4,3.2,Average,expensive
Zaffran - The Claremont,Gurgaon,"The Claremont Hotel & Convention Centre, Near Aya Nagar, MG Road, Gurgaon","The Claremont, MG Road","The Claremont, MG Road, Gurgaon","Mughlai, Lucknowi, Awadhi",2500,4,3,Average,expensive
Clove - The Galgotias,Gurgaon,"The Galgotias Hotel, 4, Sector 23 A, Sector 23, Gurgaon","The Galgotias, Sector 23","The Galgotias, Sector 23, Gurgaon","Chinese, North Indian, Continental, Mexican",1500,3,2.7,Average,expensive
Green Leaf,Gurgaon,"The Habitare Hotel, 21/1, MG Road, Sector 14, Gurgaon","The Habitare Hotel, Sector 14","The Habitare Hotel, Sector 14, Gurgaon","North Indian, South Indian",800,2,3,Average,expensive
Tokyo,Gurgaon,"The Habitare Hotel, 21/1, MG Road, Sector 14, Gurgaon","The Habitare Hotel, Sector 14","The Habitare Hotel, Sector 14, Gurgaon",Japanese,1600,3,3,Average,expensive
Cigar Lounge - The Oberoi,Gurgaon,"The Oberoi, 443, Phase 5, Udyog Vihar, Gurgaon","The Oberoi, Udyog Vihar","The Oberoi, Udyog Vihar, Gurgaon",Finger Food,3000,4,3.2,Average,expensive
Melange - The Pllazio Hotel,Gurgaon,"The Pllazio Hotel, 292-296, City Center, Sector 29, Gurgaon","The Pllazio Hotel, Sector 29","The Pllazio Hotel, Sector 29, Gurgaon","North Indian, Continental, Chinese",2500,4,3.6,Good,expensive
Qureshi's Kabab Corner,Gurgaon,"G-44/A, The Sapphire Mall, Opposite Orchid Petals, Sector 49, Near, Sohna Road, Gurgaon","The Sapphire Mall, Sohna Road","The Sapphire Mall, Sohna Road, Gurgaon","North Indian, Mughlai",650,2,3.3,Average,average
EEST - The Westin Gurgaon,Gurgaon,"The Westin Hotel, Sector 29, Gurgaon","The Westin Gurgaon, Sector 29","The Westin Gurgaon, Sector 29, Gurgaon","Japanese, Chinese, Thai",3000,4,3.9,Good,expensive
Prego - The Westin Gurgaon,Gurgaon,"The Westin Hotel, Sector 29, Gurgaon","The Westin Gurgaon, Sector 29","The Westin Gurgaon, Sector 29, Gurgaon",Italian,3000,4,3.8,Good,expensive
Seasonal Tastes - The Westin Gurgaon,Gurgaon,"The Westin Hotel, Sector 29, Gurgaon","The Westin Gurgaon, Sector 29","The Westin Gurgaon, Sector 29, Gurgaon","North Indian, Asian",3000,4,3.9,Good,expensive
Xiao Chi - The Westin Sohna Resort & Spa,Gurgaon,"The Westin Sohna Resort & Spa, Vatika Complex, P O Daula, Karanki Road, Sohna Road, Gurgaon","The Westin Sohna Resort & Spa, Sohna Road","The Westin Sohna Resort & Spa, Sohna Road, Gurgaon",Chinese,3000,4,3.4,Average,expensive
The Living Room - The Westin Sohna Resort & Spa,Gurgaon,"The Westin Sohna Resort & Spa, Vatika Complex, P O Daula, Karanki Road, Sohna Road, Gurgaon","The Westin Sohna Resort & Spa, Sohna Road","The Westin Sohna Resort & Spa, Sohna Road, Gurgaon",Continental,3000,4,3.7,Good,expensive
The Bar - Trident Gurgaon,Gurgaon,"Trident, 443, Phase 5, Udyog Vihar, Gurgaon","Trident, Udyog Vihar","Trident, Udyog Vihar, Gurgaon",Finger Food,2000,4,3.3,Average,expensive
Konomi - Trident Gurgaon,Gurgaon,"Trident, 443, Phase 5, Udyog Vihar, Gurgaon","Trident, Udyog Vihar","Trident, Udyog Vihar, Gurgaon",Japanese,3000,4,3.5,Good,expensive
L'Opera,Gurgaon,"Two Horizon Center, Golf Course Road, Gurgaon","Two Horizon Center, Golf Course Road","Two Horizon Center, Golf Course Road, Gurgaon","Bakery, Desserts, Fast Food",400,1,3.7,Good,average
Town Hall,Gurgaon,"Two Horizon Center, Golf Course Road, Gurgaon","Two Horizon Center, Golf Course Road","Two Horizon Center, Golf Course Road, Gurgaon","Japanese, Thai, Italian, Asian",2500,4,3.5,Good,expensive
Whisky Samba,Gurgaon,"Two Horizon Center, Golf Course Road, Gurgaon","Two Horizon Center, Golf Course Road","Two Horizon Center, Golf Course Road, Gurgaon","Italian, Burger, Charcoal Grill",2500,4,3.8,Good,expensive
Chokola,Gurgaon,"Plot 131, Phase 1, Udyog Vihar, Gurgaon",Udyog Vihar,"Udyog Vihar, Gurgaon","Bakery, Desserts, Bakery",700,2,3.1,Average,expensive
Citrus Cafe - Lemon Tree Hotel,Gurgaon,"Lemon Tree Hotel, 886, DLF Phase 5, Udyog Vihar, Gurgaon",Udyog Vihar,"Udyog Vihar, Gurgaon",Cafe,2000,4,2.7,Average,expensive
Green Hut,Gurgaon,"Opposite Army Canteen, Rao Market, Jwala Mill Road, Sector 18, Udyog Vihar, Gurgaon",Udyog Vihar,"Udyog Vihar, Gurgaon","North Indian, Chinese, Fast Food",600,2,2.8,Average,average
My Plate,Gurgaon,"Plot 243, 1st Floor, SP Infocity, Phase 1, Udyog Vihar, Gurgaon",Udyog Vihar,"Udyog Vihar, Gurgaon",North Indian,200,1,3.1,Average,cheap
PiccoLicko,Gurgaon,"Plot 74, Sector 18, Near IFFCO Chowk, Udyog Vihar, Gurgaon",Udyog Vihar,"Udyog Vihar, Gurgaon",Desserts,200,1,3.3,Average,cheap
Pind Balluchi,Gurgaon,"Vanijya Nikunj, Shankar Chowk, Phase 5, Udyog Vihar, Gurgaon",Udyog Vihar,"Udyog Vihar, Gurgaon","North Indian, Mughlai",1000,3,2.7,Average,expensive
Raj Xpresso,Gurgaon,"238, Next to Plot 702, Peepal Chowk, Phase 5, Udyog Vihar, Gurgaon",Udyog Vihar,"Udyog Vihar, Gurgaon","North Indian, Chinese",650,2,2.9,Average,average
Riders Hub,Gurgaon,"Vanijya Nikunj, Near Income Tax Office, Phase 5, Udyog Vihar, Gurgaon",Udyog Vihar,"Udyog Vihar, Gurgaon","Chinese, Continental, North Indian",800,2,3.1,Average,expensive
Shivani Catering Services,Gurgaon,"Shop 68, Rao Market, Electronics City, Udyog Vihar, Gurgaon",Udyog Vihar,"Udyog Vihar, Gurgaon","North Indian, Chinese",500,2,3.1,Average,average
The Diet Kitchen,Gurgaon,"Udyog Vihar, Gurgaon",Udyog Vihar,"Udyog Vihar, Gurgaon","Continental, Healthy Food",700,2,3.3,Average,expensive
The Gr8 Taste of India,Gurgaon,"Enkay Tower, Phase 5, Udyog Vihar, Gurgaon",Udyog Vihar,"Udyog Vihar, Gurgaon","North Indian, Fast Food",400,1,3,Average,average
World Art Cafe,Gurgaon,"183, Nimitya, Phase I, Udyog Vihar, Gurgaon",Udyog Vihar,"Udyog Vihar, Gurgaon",Cafe,500,2,3.3,Average,average
XLNC Bakers,Gurgaon,"Udyog Vihar, Gurgaon",Udyog Vihar,"Udyog Vihar, Gurgaon",Bakery,150,1,2.9,Average,cheap
Adventure Food,Gurgaon,"Food Court, Infocity, Udyog Vihar, Gurgaon",Udyog Vihar,"Udyog Vihar, Gurgaon",Fast Food,150,1,0,Not rated,cheap
Baba Da Dhaba,Gurgaon,Near Hanuman Mandir,Udyog Vihar,"Udyog Vihar, Gurgaon",North Indian,500,2,0,Not rated,average
Bandhani Fast Food,Gurgaon,"353, Udyog Vihar, Gurgaon",Udyog Vihar,"Udyog Vihar, Gurgaon",North Indian,300,1,0,Not rated,average
Bhai Ji Dhaba,Gurgaon,"Hanuman Mandir, Phase-1, Udyog Vihar, Gurgaon",Udyog Vihar,"Udyog Vihar, Gurgaon",North Indian,500,2,0,Not rated,average
Bikaner Sweets,Gurgaon,"Shop 7, Sector 18, HUDA Complex, Sarhaul Village, Udyog Vihar, Gurgaon",Udyog Vihar,"Udyog Vihar, Gurgaon","North Indian, South Indian, Chinese",300,1,0,Not rated,average
Cafe Coffee Day,Gurgaon,"Infotech Center, Old Delhi Gurgaon Road, IDPL Township, Sector 22A, Udyog Vihar, Gurgaon",Udyog Vihar,"Udyog Vihar, Gurgaon",Cafe,450,1,0,Not rated,average
Cake 24x7,Gurgaon,"Plot 424, Satguru Farm, Opposite Maruti Gate 1, Sector 18, Udyog Vihar, Gurgaon",Udyog Vihar,"Udyog Vihar, Gurgaon","Bakery, Desserts",450,1,0,Not rated,average
Chaayos,Gurgaon,"Plot 243, Tower A, SP Infocity, Udyog Vihar Phase 1, Sector 20, Udyog Vihar, Gurgaon",Udyog Vihar,"Udyog Vihar, Gurgaon","Cafe, Tea",400,1,0,Not rated,average
Chauhan Hotel,Gurgaon,"Shop 5, HUDA Market, Sector 18, Udyog Vihar, Gurgaon",Udyog Vihar,"Udyog Vihar, Gurgaon",North Indian,200,1,0,Not rated,cheap
Costa Coffee,Gurgaon,"Airtel Centre Bharti Airtel Ltd, 5th Floor, Plot 16, Phase 4, Udyog Vihar, Gurgaon",Udyog Vihar,"Udyog Vihar, Gurgaon",Cafe,600,2,0,Not rated,average
Dheeraj Vaishno Dhaba,Gurgaon,"Rao Chattar Singh Market, Opposite Siemens Sarhaul Village, Udyog Vihar, Gurgaon",Udyog Vihar,"Udyog Vihar, Gurgaon",North Indian,200,1,0,Not rated,cheap
Domino's Pizza,Gurgaon,"SCO 35, HUDA Commercial Complex, Udyog Vihar, Gurgaon",Udyog Vihar,"Udyog Vihar, Gurgaon","Pizza, Fast Food",700,2,0,Not rated,expensive
Food Ka Adda,Gurgaon,"Plot 481, Ground Floor, Phase 5, Udyog Vihar, Gurgaon",Udyog Vihar,"Udyog Vihar, Gurgaon","North Indian, Chinese, South Indian",400,1,0,Not rated,average
iKitchen,Gurgaon,"Plot 477, Sector 18, Sarhaul, Phase IV, Udyog Vihar, Gurgaon",Udyog Vihar,"Udyog Vihar, Gurgaon","North Indian, Chinese, Italian",650,2,0,Not rated,average
Knights Kitchen,Gurgaon,"93-B, Phase 5, Udyog Vihar, Gurgaon",Udyog Vihar,"Udyog Vihar, Gurgaon",North Indian,200,1,0,Not rated,cheap
Ku-Kukdu-Ku,Gurgaon,"Near DCB ATM, Vimal Yadav Wali Galli, Sarhaul Village, Udyog Vihar, Gurgaon",Udyog Vihar,"Udyog Vihar, Gurgaon",North Indian,250,1,0,Not rated,cheap
Mogambo Kitchen,Gurgaon,"Plot 581, Phase 5, Udyog Vihar, Gurgaon",Udyog Vihar,"Udyog Vihar, Gurgaon",North Indian,200,1,0,Not rated,cheap
Noore-e-Seva,Gurgaon,"Shop 3, Huda Market, Sarahel, Udyog Vihar, Gurgaon",Udyog Vihar,"Udyog Vihar, Gurgaon","Mughlai, Biryani",150,1,0,Not rated,cheap
Premier Bite,Gurgaon,"243, Phase 1, Udyog Vihar, Gurgaon",Udyog Vihar,"Udyog Vihar, Gurgaon","North Indian, Chinese, South Indian",400,1,0,Not rated,average
Renu Sweets & Restaurant,Gurgaon,"Main Market Sarhaol, Opposite Siemens Company, Udyog Vihar, Gurgaon",Udyog Vihar,"Udyog Vihar, Gurgaon",North Indian,300,1,0,Not rated,average
Street Foods by Punjab Grill,Gurgaon,"Location Varies, Udyog Vihar, Gurgaon",Udyog Vihar,"Udyog Vihar, Gurgaon","Street Food, North Indian",600,2,0,Not rated,average
Tpot,Gurgaon,"Plot 241, Smile Group, Udyog Vihar, Gurgaon",Udyog Vihar,"Udyog Vihar, Gurgaon",Cafe,400,1,0,Not rated,average
Uttrakhand Bohra Bhojnalaya & Fast Food,Gurgaon,"Main Sarhol Village, Opposite Siemens Office, Udyog Vihar, Gurgaon",Udyog Vihar,"Udyog Vihar, Gurgaon",North Indian,200,1,0,Not rated,cheap
Uttrakhand Dhaba,Gurgaon,"Near Ram Chowk, Udyog Vihar, Gurgaon",Udyog Vihar,"Udyog Vihar, Gurgaon",North Indian,200,1,0,Not rated,cheap
Tea Halt,Gurgaon,"Ground Floor, Unitech Cyber Park, Sector 39, Gurgaon","Unitech Cyber Park, Sector 39, Gurgaon","Unitech Cyber Park, Sector 39, Gurgaon, Gurgaon",Cafe,400,1,3.1,Average,average
Dunkin' Donuts,Gurgaon,"7, Tower C, Unitech Cyber Park, Sector 39, Gurgaon","Unitech Cyber Park, Sector 39, Gurgaon","Unitech Cyber Park, Sector 39, Gurgaon, Gurgaon","Burger, Desserts, Fast Food",600,2,3.5,Good,average
Indian Bistro Company,Gurgaon,"Unit 3, Tower B, Unitech Cyber Park, Sector 39, Gurgaon","Unitech Cyber Park, Sector 39, Gurgaon","Unitech Cyber Park, Sector 39, Gurgaon, Gurgaon",North Indian,750,2,3.7,Good,expensive
Department of Food and Social Affair,Gurgaon,"Unitech Cyber Park, Behind Tower A, Sector 39, Gurgaon","Unitech Cyber Park, Sector 39, Gurgaon","Unitech Cyber Park, Sector 39, Gurgaon, Gurgaon",Fast Food,300,1,0,Not rated,average
Tpot,Gurgaon,"Unitech Cyber Park, Sector 39, Gurgaon, Gurgaon","Unitech Cyber Park, Sector 39, Gurgaon","Unitech Cyber Park, Sector 39, Gurgaon, Gurgaon",Cafe,800,2,0,Not rated,expensive
Anaaj,Gurgaon,"Food Court, Unitech Infospace, Sector 21, Gurgaon","Unitech Infospace, Sector 21, Gurgaon","Unitech Infospace, Sector 21, Gurgaon, Gurgaon","North Indian, Fast Food",500,2,2.9,Average,average
Au Bon Pain,Gurgaon,"New Food court, 12-A, Ground Floor, Unitech Infospace, Sector 21, Gurgaon","Unitech Infospace, Sector 21, Gurgaon","Unitech Infospace, Sector 21, Gurgaon, Gurgaon","Cafe, Bakery",600,2,2.8,Average,average
Cafe Coffee Day,Gurgaon,"Unitech Infospace, Sector 21, Gurgaon","Unitech Infospace, Sector 21, Gurgaon","Unitech Infospace, Sector 21, Gurgaon, Gurgaon",Cafe,450,1,3.1,Average,average
Cafe Friends,Gurgaon,"Shop 14, Unitech Infospace, Sector 21, Gurgaon","Unitech Infospace, Sector 21, Gurgaon","Unitech Infospace, Sector 21, Gurgaon, Gurgaon","Cafe, Fast Food, Street Food",600,2,3.2,Average,average
